ocel_id;ocel_time;p_duration[s];s_co2e[kg];i_electric-from-grid-de[kWh];i_coating-material[kg];i_coating-material-waste[kg]
e_coat_274;2023-04-03 08:37:00;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_275;2023-04-03 08:37:05;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_273;2023-04-03 08:37:10;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_276;2023-04-03 08:37:44;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_277;2023-04-03 08:37:53;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_281;2023-04-03 08:38:30;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_280;2023-04-03 08:38:35;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_278;2023-04-03 08:38:36;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_279;2023-04-03 08:38:45;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_283;2023-04-03 08:38:51;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_282;2023-04-03 08:38:54;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_285;2023-04-03 08:39:38;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_284;2023-04-03 08:39:45;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_288;2023-04-03 08:40:08;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_287;2023-04-03 08:40:15;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_289;2023-04-03 08:40:19;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_286;2023-04-03 08:40:23;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_290;2023-04-03 08:40:31;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_291;2023-04-03 08:40:35;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_295;2023-04-03 08:41:47;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_293;2023-04-03 08:41:49;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_296;2023-04-03 08:41:49;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_294;2023-04-03 08:41:53;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_297;2023-04-03 08:42:03;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_292;2023-04-03 08:42:23;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_299;2023-04-03 08:42:43;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_300;2023-04-03 08:42:54;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_298;2023-04-03 08:43:00;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_304;2023-04-03 08:43:45;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_301;2023-04-03 08:43:51;300.0;0.1751156951;0.25;0.0004;0.0001
