ocel_source_id;ocel_target_id;ocel_qualifier
o_steelsheet_308;o_steelcoil_4;created from
o_formedpart_239;o_steelsheet_239;created from
o_steelsheet_309;o_steelcoil_4;created from
o_steelsheet_310;o_steelcoil_4;created from
o_formedpart_238;o_steelsheet_238;created from
o_formedpart_240;o_steelsheet_240;created from
o_steelsheet_311;o_steelcoil_4;created from
o_steelsheet_312;o_steelcoil_4;created from
o_steelsheet_313;o_steelcoil_4;created from
o_formedpart_242;o_steelsheet_242;created from
o_steelsheet_314;o_steelcoil_4;created from
o_formedpart_241;o_steelsheet_241;created from
o_steelsheet_315;o_steelcoil_4;created from
o_formedpart_243;o_steelsheet_243;created from
o_formedpart_245;o_steelsheet_245;created from
o_steelsheet_316;o_steelcoil_4;created from
o_steelsheet_317;o_steelcoil_4;created from
o_formedpart_244;o_steelsheet_244;created from
o_steelsheet_318;o_steelcoil_4;created from
o_formedpart_246;o_steelsheet_246;created from
o_steelsheet_319;o_steelcoil_4;created from
o_formedpart_248;o_steelsheet_248;created from
o_formedpart_250;o_steelsheet_250;created from
o_steelsheet_320;o_steelcoil_4;created from
o_formedpart_247;o_steelsheet_247;created from
o_formedpart_249;o_steelsheet_249;created from
o_steelsheet_321;o_steelcoil_4;created from
o_formedpart_251;o_steelsheet_251;created from
o_steelsheet_322;o_steelcoil_4;created from
o_steelsheet_323;o_steelcoil_4;created from
o_steelsheet_324;o_steelcoil_4;created from
o_formedpart_253;o_steelsheet_253;created from
o_steelsheet_325;o_steelcoil_4;created from
o_steelsheet_326;o_steelcoil_4;created from
o_formedpart_255;o_steelsheet_255;created from
o_steelsheet_327;o_steelcoil_4;created from
o_formedpart_252;o_steelsheet_252;created from
o_formedpart_254;o_steelsheet_254;created from
o_steelsheet_328;o_steelcoil_4;created from
o_formedpart_260;o_steelsheet_260;created from
o_steelsheet_329;o_steelcoil_4;created from
o_formedpart_256;o_steelsheet_256;created from
o_formedpart_259;o_steelsheet_259;created from
o_steelsheet_330;o_steelcoil_4;created from
o_formedpart_258;o_steelsheet_258;created from
o_steelsheet_331;o_steelcoil_4;created from
o_formedpart_257;o_steelsheet_257;created from
o_steelsheet_332;o_steelcoil_4;created from
o_steelsheet_333;o_steelcoil_4;created from
o_formedpart_263;o_steelsheet_263;created from
o_formedpart_261;o_steelsheet_261;created from
o_steelsheet_334;o_steelcoil_4;created from
o_steelsheet_335;o_steelcoil_4;created from
o_formedpart_265;o_steelsheet_265;created from
o_steelsheet_336;o_steelcoil_4;created from
o_steelsheet_337;o_steelcoil_4;created from
o_formedpart_264;o_steelsheet_264;created from
o_formedpart_262;o_steelsheet_262;created from
o_steelsheet_338;o_steelcoil_4;created from
o_formedpart_267;o_steelsheet_267;created from
o_formedpart_266;o_steelsheet_266;created from
